stop_id,stop_name,latitude,longitude
2235605616,Marche Central,37.1807006,6.287326864
2235605622,Mohamed Zefzaf,37.16847156,6.383967625
2235605636,Bachkou,37.14796512,6.274587648
2235605643,Hpital Sidi Moumen,37.16194283,6.375644943
2235605648,Zenith,37.12064222,6.260091368
2235605651,Avenue Hassan II,37.16894252,6.27781146
2235605654,Ennassim,37.17129996,6.387591116
2235605660,Hay Hassani,37.15995997,6.231605962
2235605663,Hay Mohammadi,37.1713385,6.330040968
2235605664,Cit de l'Air,37.15076141,6.23982583
2235605681,Littoral,37.16479326,6.229772307
2235605682,Centre de Maintenance,37.16527317,6.379885079
2235605686,Hay Mohammadi,37.17129481,6.329953391
2235605690,Attacharouk,37.15905242,6.369590796
2235605694,Casa Voyageurs,37.17625533,6.306564978
2235605718,La Rsistance,37.17957527,6.296119069
2235605719,Grande Ceinture,37.17654039,6.32343803
2235605753,Abdelmoumen,37.15387022,6.275273054
2235605755,Place des Nations Unies,37.18121128,6.282200108
2235605765,Panoramique,37.12786685,6.270136862
2235605781,Ghandi,37.1516717,6.258014684
2235605791,Panoramique,37.12788399,6.270158273
2235605803,Forces Auxilliaires,37.15960015,6.355526763
2235605807,Sidi Moumen Terminus,37.17364567,6.390560198
2235605809,Hay Hassani,37.15993543,6.23156933
2235605816,Ghandi,37.15169816,6.257985651
2235605817,Hay Raja,37.16159517,6.347086982
2235605822,Avenue Hassan II,37.16894954,6.277779993
2235605828,Ain Diab Plage,37.17192461,6.224146115
2235605835,Mekka,37.13970192,6.271939685
2235605840,Forces Auxilliaires,37.15954613,6.355518149
2238332082,Chouhada,37.17449798,6.329031445
2238332146,Chouhada,37.17455217,6.329100403
2238332160,Casa Voyageurs,37.1762109,6.306535138
2238332192,Place Al Yassir,37.17902098,6.301885642
2238332220,PTT Chouhada,37.17238013,6.329768413
2238332258,Ibn Tachfine,37.16601372,6.333187276
2238332260,Ibn Tachfine,37.16606601,6.33321477
2238332263,Mohamed Diouri,37.1797863,6.291828179
2238332295,Mosque Hay Mohammadi,37.17198533,6.33128456
2238332342,Okba Ibn Nafii,37.1576748,6.36195257
2238332361,Anciens Abattoirs,37.1770762,6.318955575
2238332373,Mohamed Diouri,37.17974868,6.291842607
2238332391,Place Al Yassir,37.17904617,6.301919549
2238332442,Ali Yata  ,37.17771714,6.326962585
2238332460,Grande Ceinture,37.17649618,6.323448385
2238332466,Okba Ibn Nafii,37.15761571,6.361922863
2238405493,Marche Central,37.18067088,6.287285033
2238405596,Place des Nations Unies,37.18120242,6.282242548
2238405601,Place Mohammed V,37.17511279,6.280533489
2238447172,Facult de Mdecine,37.15871028,6.275403246
2238447184,Les Hpitaux,37.16438227,6.276180418
